Region;Gene
EGL;TRIP13
EGL;GNG5
EGL;BTC
EGL;PRIM2
EGL;"NAP1L1"
EGL;FAM60A
EGL;PMAIP1
EGL;COL4A5
EGL;FAM117A
EGL;ZNF600
EGL;DERA
EGL;ANP32B
EGL;RPL39
EGL;NPY
EGL;RPS7
EGL;ST7-OT4
EGL;STBD1
EGL;ASPN
EGL;RAI14
EGL;MT1F
EGL;RPS6
EGL;MGAM
EGL;COL10A1
EGL;RPL35A
EGL;EMILIN3
EGL;TMEM98
EGL;CRYBG3
EGL;BARHL2
EGL;HNRNPA1
EGL;SLC39A11
EGL;OR4M2
EGL;NPM1
EGL;GLIPR2
EGL;GDPD4
EGL;CXorf57
EGL;RPS3A
EGL;HSD17B11
EGL;FBL
EGL;TMEM97
EGL;RNASE4
EGL;RPL10A
EGL;ROR1
EGL;KLRAP1
EGL;EBPL
EGL;HESX1
EGL;MGP
EGL;CXCR6
EGL;SCML2
EGL;SDC2
EGL;FAM175A
EGL;MTAP
EGL;ATOH1
EGL;CCDC109B
EGL;MTHFD2
EGL;VRK2
EGL;INSM1
EGL;SNORA76C
EGL;IER5
EGL;SNORD50B
EGL;C19orf48
EGL;RND3
EGL;MAMSTR
EGL;PLP2
EGL;WRN
EGL;MIR216B
EGL;ACAA2
EGL;CYP24A1
EGL;CA14
EGL;TERT
EGL;RPS21
EGL;TBC1D8B
EGL;ADCK3
EGL;BCL2L12
EGL;PHF19
EGL;CCNB1IP1
EGL;ENO3
EGL;EFNA4
EGL;LOC100129940
EGL;SP5
EGL;YBX3
EGL;LTC4S
EGL;ZEB1
EGL;MIPOL1
EGL;SLC35D2
EGL;SMCO4
EGL;DAPL1
EGL;LINC00092
EGL;PIEZO2
EGL;LOC102724663
EGL;GPC6
EGL;GAS1
EGL;FAM210B
EGL;LPPR1
EGL;TSPO
EGL;RHOBTB3
EGL;PLXNB2
EGL;SEC24D
EGL;IGF2BP1
EGL;ETV6
EGL;PLBD1
EGL;TCF15
EGL;WNT10A
EGL;HS3ST3A1
EGL;SLC25A21
EGL;FLNB
EGL;PRLR
EGL;PDLIM1
EGL;PLK3
EGL;COL21A1
EGL;RRAD
EGL;DMRTA1
EGL;PCK2
EGL;NFE2L3
EGL;ESR2
EGL;NT5DC1
EGL;MLPH
EGL;CYYR1
EGL;MT1X
EGL;PHF20L1
EGL;PNPLA2
EGL;DCDC5
EGL;GATA6
EGL;MYCN
EGL;OSBPL3
EGL;NXPH3
EGL;ROR2
EGL;CRB1
EGL;CCIN
EGL;AMELX
EGL;CXCR4
EGL;LINC01124
EGL;NKX3-2
EGL;FAP
EGL;CLEC4G
EGL;PCBP3
EGL;PDE1C
EGL;UGT8
EGL;SLC19A1
EGL;LPAR6
EGL;CCSER2
EGL;HMGA2
EGL;CES1
EGL;HS3ST3B1
EGL;CCDC3
EGL;CLEC18C
EGL;KCNH6
EGL;SPON2
EGL;NFATC1
EGL;CACNA1S
EGL;FLRT3
EGL;HEY1
EGL;SPNS3
EGL;OR4N3P
EGL;FGFR4
EGL;GRASP
EGL;SLC8B1
EGL;SOWAHC
EGL;PPP1R14A
EGL;CAPN6
EGL;MGARP
EGL;KIAA1210
EGL;RCAN3
EGL;FHL2
EGL;C7orf31
EGL;NRIP2
EGL;SPSB4
EGL;ELK3
EGL;FRK
EGL;IGFBP5
EGL;LURAP1L
EGL;NHLH1
EGL;EXPH5
EGL;ATP6V1B1
EGL;RGR
EGL;MET
EGL;TNFAIP8L3
EGL;PRKD1
EGL;PDGFC
EGL;FSTL4
EGL;EFCAB4A
EGL;UCN3
EGL;LHX8
EGL;CHRNA1
EGL;SLC6A3
EGL;TEX15
EGL;TMPRSS6
EGL;LDB3
EGL;SYNGR4
EGL;KCNG2
EGL;ITGBL1
EGL;SPNS2
EGL;TNFRSF18
EGL;VSTM4
EGL;PLCH2
EGL;ARSI
EGL;ABCB4
EGL;DMKN
EGL;SNX29P1
EGL;MCOLN3
EGL;RIN1
EGL;FBXO17
EGL;TNFSF13B
EGL;TCP10L
EGL;NTRK1
EGL;RAB26
EGL;CLEC18A
EGL;ATAD3C
EGL;IP6K3
EGL;LINC01299
EGL;ANKRD18B
EGL;ADAMTS6
EGL;DRD2
EGL;FLRT2
EGL;S100A4
EGL;SLC44A3
EGL;RGS9
EGL;PGF
EGL;ALOX5
EGL;PPEF1
EGL;RYR3
EGL;BMP5
EGL;NPHS2
EGL;SLC47A1
EGL;SLC2A14
EGL;ARSF
EGL;GAB3
EGL;PVALB
EGL;ECHDC2
EGL;SLC1A7
EGL;IFLTD1
EGL;DLL3
EGL;CLDN4
EGL;MAFA
EGL;CHRND
EGL;FOXS1
EGL;B4GALNT3
EGL;CDK15
EGL;NTN1
EGL;SFRP1
EGL;MRAP2
EGL;ZAN
EGL;A4GALT
EGL;ITPR3
EGL;FLT4
EGL;SEMA7A
EGL;CCER2
EGL;UPK3B
EGL;GRIN2C
EGL;SCGN
EGL;CMTM7
EGL;RGS10
EGL;LOC283731
EGL;PLXND1
EGL;CPM
EGL;PRPH
EGL;ITIH2
EGL;TMEM71
EGL;P4HA3
EGL;SLC12A3
EGL;SOSTDC1
EGL;TRHDE-AS1
EGL;THSD7B
EGL;PDLIM3
EGL;CRLF1
EGL;FGF8
EGL;CYP11A1
EGL;PCSK9
EGL;ADAMTS14
EGL;DYTN
EGL;NDST3
EGL;TRHDE
EGL;HMCN2
EGL;LOC729739
EGL;OTX1
EGL;PODN
EGL;GGNBP1
EGL;SIX3
EGL;LRRK1
EGL;BSND
EGL;ALDH1A3
EGL;PRR35
EGL;KLK4
EGL;SLC6A2
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
EGL;NA
